Artistname,Genre,FamousLevel,Link
Adele,['soft pop'],85,https://open.spotify.com/artist/4dpARuHxo51G3z768sgnrY
Anendlessocean,"['african gospel', 'gospel', 'gospel r&b']",54,https://open.spotify.com/artist/43bV8yQzojEPet60WrZJau
Ariana Grande,['pop'],92,https://open.spotify.com/artist/66CXWjxzNUsdJxJ2JdwvnR
Ashh Blackwood,['Unknown Genre'],36,https://open.spotify.com/artist/3gcolnl9IwbEPtCk8TPLNp
Benson Boone,['Unknown Genre'],84,https://open.spotify.com/artist/22wbnEMDvgVIAGdFeek6ET
Billie Eilish,['Unknown Genre'],94,https://open.spotify.com/artist/6qqNVTkY8uBg9cP3Jd7DAH
Bobby G,['Unknown Genre'],49,https://open.spotify.com/artist/208NpeNmmOZK5NLoCCNYLX
Box of Music,['Unknown Genre'],48,https://open.spotify.com/artist/5WYUO5XLZ0wXfENyMdPgl7
Daniel Jang,['Unknown Genre'],51,https://open.spotify.com/artist/3MVrehTlNNnn06iUlj4axN
Dunsin Oyekan,"['african gospel', 'gospel', 'worship']",57,https://open.spotify.com/artist/49BZ6sJNhvubVBsomYuLFM
ELEVATION RHYTHM,"['worship', 'pop worship', 'christian pop', 'christian']",61,https://open.spotify.com/artist/0qZ8aSF0iMCQI99AAXikF8
Elevation Worship,"['worship', 'christian', 'ccm', 'gospel']",76,https://open.spotify.com/artist/3YCKuqpv9nCsIhJ2v8SMix
Forrest Frank,"['christian hip hop', 'christian pop', 'pop worship', 'christian', 'gospel r&b', 'worship']",73,https://open.spotify.com/artist/1scVfBymTr3CeZ4imMj1QJ
Henry Moodie,['Unknown Genre'],65,https://open.spotify.com/artist/7hr9W3IjXcm3UlLY7guLk5
Henry Smith,['Unknown Genre'],64,https://open.spotify.com/artist/5M86PSFFaRNTKidvlgHDEE
Hozier,['Unknown Genre'],84,https://open.spotify.com/artist/2FXC3k01G6Gw61bmprjgqS
INST,['Unknown Genre'],50,https://open.spotify.com/artist/3NuX2HNLS62uUmkVGBQYzP
JVKE,['Unknown Genre'],74,https://open.spotify.com/artist/164Uj4eKjl6zTBKfJLFKKK
James Wong,['Unknown Genre'],32,https://open.spotify.com/artist/5FwpAKW6AjVZgAU91CR6rh
Josiah Queen,"['christian folk', 'christian', 'worship', 'pop worship', 'christian pop']",68,https://open.spotify.com/artist/7yAymwuYh9RcpX84GSNIq2
Justin Bieber,['Unknown Genre'],90,https://open.spotify.com/artist/1uNFoZAHBGtllmzznpCI3s
Katy Perry,['pop'],85,https://open.spotify.com/artist/6jJ0s89eD6GaHleKKya26X
Lana Del Rey,['Unknown Genre'],90,https://open.spotify.com/artist/00FQb4jTyendYWaN8pK0wa
Laufey,['Unknown Genre'],81,https://open.spotify.com/artist/7gW0r5CkdEUMm42w9XpyZO
Lord's Child,['gospel r&b'],48,https://open.spotify.com/artist/14EkDZQXCL0J9CpQ1tKIKC
Madison Ryann Ward,['gospel r&b'],59,https://open.spotify.com/artist/6eAUAR4N9NOpirukqdIzVI
Mae Stephens,['Unknown Genre'],60,https://open.spotify.com/artist/311uEW9rt5g2NmzjGEKS2E
Maverick City Music,"['worship', 'gospel', 'christian']",72,https://open.spotify.com/artist/58r1rB5t3VF5X6yXGPequV
Meghan Trainor,['Unknown Genre'],77,https://open.spotify.com/artist/6JL8zeS1NmiOftqZTRgdTz
Mount Hayes,['Unknown Genre'],53,https://open.spotify.com/artist/1fnrYVE13eI1MwXwlI7ehi
Muni Long,['Unknown Genre'],68,https://open.spotify.com/artist/7tjVFCxJdwT4NdrTmjyjQ6
Olivia Rodrigo,['Unknown Genre'],86,https://open.spotify.com/artist/1McMsnEElThX1knmY4oliG
SZA,['r&b'],95,https://open.spotify.com/artist/7tYKF4w9nC0nq9CsPZTHyP
Sabrina Carpenter,['Unknown Genre'],91,https://open.spotify.com/artist/74KM79TiuVKeVCqs8QtB0B
Shawn Mendes,['pop'],82,https://open.spotify.com/artist/7n2wHs1TKAczGzO7Dd2rGr
Simone Del Freo,['Unknown Genre'],33,https://open.spotify.com/artist/44pP5tBedbl0kJ5OWNBZK4
Sondae,"['gospel r&b', 'christian', 'gospel', 'christian pop', 'christian hip hop', 'pop worship', 'worship']",58,https://open.spotify.com/artist/2PCl4hx9Qds8sjcnoWUdqp
Song House,['Unknown Genre'],52,https://open.spotify.com/artist/4nGNf0VR9cA4lexGEflHwf
Sunmisola Agbebi,"['african gospel', 'gospel', 'worship']",57,https://open.spotify.com/artist/7fJd7w897ouOZzDc6e3oyU
Tate McRae,['Unknown Genre'],90,https://open.spotify.com/artist/45dkTj5sMRSjrmBSBeiHym
Taylor Swift,['Unknown Genre'],97,https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02
Tems,"['afrobeats', 'alté', 'afrobeat', 'afropop']",75,https://open.spotify.com/artist/687cZJR45JO7jhk1LHIbgq
Terrian,"['gospel r&b', 'christian pop', 'pop worship', 'christian', 'worship', 'gospel']",59,https://open.spotify.com/artist/19TPpTWkgX13Qc2stbqVoP
The Spirituals,"['gospel', 'african gospel']",34,https://open.spotify.com/artist/1viPlR6yBVRaBcilVZ8yPy
TruththeBull,['Unknown Genre'],39,https://open.spotify.com/artist/6jJ5zRuUgv7UZJhss0fUyg
Tyla,['afrobeats'],78,https://open.spotify.com/artist/3SozjO3Lat463tQICI9LcE
Will Morrison,['worship'],45,https://open.spotify.com/artist/34VjmhQP0q93vBQ8eganjB
Worship Portal,['Unknown Genre'],30,https://open.spotify.com/artist/2BetZBR8p361ds2CsQUbbM
elijah woods,['Unknown Genre'],63,https://open.spotify.com/artist/3IR6DvP0x2a6oUSist9UMu
kaestrings,"['african gospel', 'gospel', 'worship']",55,https://open.spotify.com/artist/7eEP4TA1RioDH3OBKPcQEC
Kendrick Lamar,"['hip hop', 'west coast hip hop']",97,https://open.spotify.com/artist/2YZyLoL8N0Wb9xBt1NhZWg
Lay Bankz,['jersey club'],64,https://open.spotify.com/artist/4OVbrPbhvK46A1uXTU1u5F
Kevin Quinn,"['christian', 'pop worship', 'christian pop']",51,https://open.spotify.com/artist/3HTHz4rj84gMMV8T3u81op
Phyno,"['afrobeats', 'afrobeat', 'highlife', 'afropop', 'afropiano', 'afro adura', 'hiplife', 'azonto']",59,https://open.spotify.com/artist/6acbdy69rtlv8m9EW31MYl
Annatoria,"['gospel r&b', 'african gospel', 'gospel']",51,https://open.spotify.com/artist/6008gjU9UTUCfLZoSun5SH
