track_name,artist_name,played_at
Nothing,Bruno Major,2025-02-04T09:40:45.616Z
Better When I'm Dancin',Meghan Trainor,2025-02-04T09:38:10.544Z
God Is,Kanye West,2025-02-04T09:35:25.661Z
intro (end of the world),Ariana Grande,2025-02-04T09:31:59.062Z
Alright,Sam Fischer,2025-02-04T09:30:46.872Z
Mr Right (with Meghan Trainor),Mae Stephens,2025-02-04T09:28:03.502Z
Te Amo,121SELAH,2025-02-04T09:25:57.865Z
Dancin - Krono Remix,Aaron Smith,2025-02-04T09:22:22.512Z
Rahama (Live),kaestrings,2025-02-04T04:08:49.296Z
Yeshua,Minister GUC,2025-02-04T03:58:32.607Z
Fragile,Laufey,2025-02-03T13:59:20.619Z
James,Laufey,2025-02-03T13:55:27.034Z
Like the Movies,Laufey,2025-02-03T13:52:00.823Z
No One Knows (with Laufey),Stephen Sanchez,2025-02-03T13:49:17.599Z
I Wish You Love,Laufey,2025-02-03T13:45:17.702Z
Someone New,Laufey,2025-02-03T13:42:42.103Z
Valentine,Laufey,2025-02-03T13:38:49.487Z
What Love Will Do to You,Laufey,2025-02-03T13:34:58.528Z
Street by Street,Laufey,2025-02-03T13:32:06.803Z
Beautiful Stranger,Laufey,2025-02-03T13:28:22.051Z
Trouble,Laufey,2025-02-03T13:25:00.590Z
Best Friend,Laufey,2025-02-03T13:22:08.043Z
Slow Down,Laufey,2025-02-03T13:19:23.437Z
Promise,Laufey,2025-02-03T13:16:57.803Z
Magnolia,Laufey,2025-02-03T13:13:02.885Z
one of these days,Camille de la Cruz,2025-02-03T13:08:21.005Z
Cold Iced Tea,Uriah Wilde,2025-02-03T13:05:41.604Z
Never Go Back,Shana,2025-02-03T13:04:08.628Z
Can't Talk,Chris Belair,2025-02-03T13:00:52.987Z
Don't Make Me Choose,SAYANA,2025-02-03T12:53:33.473Z
Make Me Your Mrs - Wedding Version,Mae Stephens,2025-02-03T12:50:06.644Z
His Name is Jesus - Live,Jeremy Riddle,2025-02-01T20:31:25.854Z
Who Else - Live at Gateway Conference,Gateway Worship,2025-01-31T09:38:46.341Z
Rolling in the Deep,Adele,2025-01-31T09:32:07.450Z
From the Start - Piano Instrumental,DPSM,2025-01-29T12:13:36.109Z
Conversations in the Dark - Harp Instrumental,Arianna Worthen,2025-01-28T19:58:56.490Z
Soh-Soh,Odeal,2025-01-28T19:54:44.790Z
Conversations in the Dark,John Legend,2025-01-28T19:51:39.763Z
Best Part (feat. H.E.R.),Daniel Caesar,2025-01-28T19:47:43.605Z
A Million Dreams (Piano Instrumental),Playa Piano,2025-01-27T20:55:37.284Z
Love Is Wicked,Brick & Lace,2025-01-27T20:49:29.368Z
Water,Tyla,2025-01-27T20:45:46.089Z
Yo Bunny,prodbycpkshawn,2025-01-27T20:42:25.280Z
Conversations in the Dark - Harp Instrumental,Arianna Worthen,2025-01-27T20:40:34.300Z
Conversations in the Dark,John Legend,2025-01-27T20:36:22.659Z
I Will Always Love You,Vitamin String Quartet,2025-01-27T20:32:24.623Z
Conversations In The Dark - Instrumental,KPH,2025-01-27T20:27:38.246Z
Soh-Soh,Odeal,2025-01-27T20:23:39.872Z
BIRTHDAY DANCE,Josh Levi,2025-01-27T20:20:34.870Z
Rolling in the Deep,Adele,2025-01-27T20:18:09.874Z
