track_name,artist_name,played_at
This Is How It Feels (with Laufey),d4vd,2025-02-16T12:38:06.137Z
This Is How It Feels (with Laufey),d4vd,2025-02-16T12:27:39.557Z
Promise,Laufey,2025-02-16T12:16:10.420Z
It Could Happen To You,Laufey,2025-02-16T12:12:15.798Z
Where or When,Laufey,2025-02-16T12:10:07.618Z
Bored,Laufey,2025-02-16T12:06:43.564Z
Valentine,Laufey,2025-02-16T12:03:09.770Z
From The Start,Laufey,2025-02-16T12:00:20.394Z
Second Best,Laufey,2025-02-16T11:57:30.448Z
James,Laufey,2025-02-16T11:54:05.060Z
Slow Down,Laufey,2025-02-16T11:51:08.451Z
I Wish You Love,Laufey,2025-02-16T11:48:42.935Z
Fragile,Laufey,2025-02-16T11:46:07.554Z
Dreamer,Laufey,2025-02-16T11:42:05.776Z
Everytime We Say Goodbye - Live at The Symphony,Laufey,2025-02-16T11:38:34.467Z
A Night To Remember,beabadoobee,2025-02-16T11:34:00.327Z
Like the Movies,Laufey,2025-02-16T11:30:06.343Z
Lovesick,Laufey,2025-02-16T11:27:23.022Z
Best Friend,Laufey,2025-02-16T11:23:37.030Z
Bewitched,Laufey,2025-02-16T11:20:52.623Z
Falling Behind,Laufey,2025-02-16T11:16:44.932Z
Street by Street,Laufey,2025-02-16T11:13:51.302Z
Street by Street,Laufey,2025-02-16T11:11:45.255Z
Someone New,Laufey,2025-02-16T10:23:54.143Z
Ég Veit Þú Kemur - Live at The Symphony,Laufey,2025-02-16T10:20:35.828Z
Magnolia,Laufey,2025-02-16T10:16:58.647Z
The Nearness of You - Live at The Symphony,Laufey,2025-02-16T10:13:57.851Z
Trouble,Laufey,2025-02-16T10:11:08.775Z
Alignment Chant - EP,Lawrence Oyor,2025-02-16T10:07:27.772Z
Alignment Chant - EP,Lawrence Oyor,2025-02-16T09:41:46.986Z
Mighty Name of Jesus - Live,The Belonging Co,2025-02-16T09:24:56.660Z
The Nearness of You - Live at The Symphony,Laufey,2025-02-15T17:58:06.127Z
Bored,Laufey,2025-02-15T17:55:17.135Z
Let You Break My Heart Again,Laufey,2025-02-15T17:51:43.512Z
Je te laisserai des mots,Patrick Watson,2025-02-15T17:21:10.740Z
Nothing,Bruno Major,2025-02-14T20:09:27.053Z
Not Like Us,Kendrick Lamar,2025-02-14T19:34:16.405Z
gloria (with sza),Kendrick Lamar,2025-02-14T19:29:41.722Z
heart pt. 6,Kendrick Lamar,2025-02-14T19:17:54.074Z
peekaboo (feat. azchike),Kendrick Lamar,2025-02-14T19:12:50.398Z
"dodger blue (feat. wallie the sensei, siete7x, roddy ricch)",Kendrick Lamar,2025-02-14T19:10:14.462Z
tv off (feat. lefty gunplay),Kendrick Lamar,2025-02-14T19:08:03.184Z
reincarnated,Kendrick Lamar,2025-02-14T19:04:03.761Z
hey now (feat. dody6),Kendrick Lamar,2025-02-14T18:57:10.458Z
man at the garden,Kendrick Lamar,2025-02-14T18:53:33Z
luther (with sza),Kendrick Lamar,2025-02-14T18:49:28.555Z
squabble up,Kendrick Lamar,2025-02-14T18:43:23.210Z
wacced out murals,Kendrick Lamar,2025-02-14T18:36:29.935Z
Not Like Us,Kendrick Lamar,2025-02-14T18:28:37.562Z
(I'll Keep) Running to You,Todd Dulaney,2025-02-14T18:14:30.325Z
