Artistname,Genre,FamousLevel,Link
Maverick City Music,"['worship', 'gospel', 'christian']",71,https://open.spotify.com/artist/58r1rB5t3VF5X6yXGPequV
Meghan Trainor,['Unknown Genre'],76,https://open.spotify.com/artist/6JL8zeS1NmiOftqZTRgdTz
Sabrina Carpenter,['Unknown Genre'],91,https://open.spotify.com/artist/74KM79TiuVKeVCqs8QtB0B
Laufey,['Unknown Genre'],81,https://open.spotify.com/artist/7gW0r5CkdEUMm42w9XpyZO
SZA,['r&b'],94,https://open.spotify.com/artist/7tYKF4w9nC0nq9CsPZTHyP
Forrest Frank,"['christian hip hop', 'christian pop', 'pop worship', 'christian', 'gospel r&b', 'worship']",72,https://open.spotify.com/artist/1scVfBymTr3CeZ4imMj1QJ
Ariana Grande,['pop'],91,https://open.spotify.com/artist/66CXWjxzNUsdJxJ2JdwvnR
Dunsin Oyekan,"['african gospel', 'gospel', 'worship']",56,https://open.spotify.com/artist/49BZ6sJNhvubVBsomYuLFM
Tyla,['afrobeats'],78,https://open.spotify.com/artist/3SozjO3Lat463tQICI9LcE
Taylor Swift,['Unknown Genre'],96,https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02
Mount Hayes,['Unknown Genre'],52,https://open.spotify.com/artist/1fnrYVE13eI1MwXwlI7ehi
Olivia Rodrigo,['Unknown Genre'],86,https://open.spotify.com/artist/1McMsnEElThX1knmY4oliG
JVKE,['Unknown Genre'],74,https://open.spotify.com/artist/164Uj4eKjl6zTBKfJLFKKK
Sondae,"['gospel r&b', 'christian', 'gospel', 'christian pop', 'christian hip hop', 'pop worship']",58,https://open.spotify.com/artist/2PCl4hx9Qds8sjcnoWUdqp
Benson Boone,['Unknown Genre'],84,https://open.spotify.com/artist/22wbnEMDvgVIAGdFeek6ET
Mae Stephens,['Unknown Genre'],59,https://open.spotify.com/artist/311uEW9rt5g2NmzjGEKS2E
Anendlessocean,"['african gospel', 'gospel', 'gospel r&b']",54,https://open.spotify.com/artist/43bV8yQzojEPet60WrZJau
Sunmisola Agbebi,"['african gospel', 'gospel', 'worship']",56,https://open.spotify.com/artist/7fJd7w897ouOZzDc6e3oyU
Elevation Worship,"['worship', 'christian', 'ccm', 'gospel']",75,https://open.spotify.com/artist/3YCKuqpv9nCsIhJ2v8SMix
James Wong,['Unknown Genre'],31,https://open.spotify.com/artist/5FwpAKW6AjVZgAU91CR6rh
Daniel Jang,['Unknown Genre'],50,https://open.spotify.com/artist/3MVrehTlNNnn06iUlj4axN
kaestrings,"['african gospel', 'gospel', 'worship']",55,https://open.spotify.com/artist/7eEP4TA1RioDH3OBKPcQEC
Song House,['Unknown Genre'],51,https://open.spotify.com/artist/4nGNf0VR9cA4lexGEflHwf
INST,['Unknown Genre'],49,https://open.spotify.com/artist/3NuX2HNLS62uUmkVGBQYzP
Josiah Queen,"['christian folk', 'christian', 'worship', 'pop worship', 'christian pop']",67,https://open.spotify.com/artist/7yAymwuYh9RcpX84GSNIq2
Box of Music,['Unknown Genre'],48,https://open.spotify.com/artist/5WYUO5XLZ0wXfENyMdPgl7
Lana Del Rey,['Unknown Genre'],90,https://open.spotify.com/artist/00FQb4jTyendYWaN8pK0wa
Billie Eilish,['Unknown Genre'],94,https://open.spotify.com/artist/6qqNVTkY8uBg9cP3Jd7DAH
Terrian,"['gospel r&b', 'christian pop', 'pop worship', 'christian', 'worship', 'gospel']",59,https://open.spotify.com/artist/19TPpTWkgX13Qc2stbqVoP
Henry Smith,['Unknown Genre'],64,https://open.spotify.com/artist/5M86PSFFaRNTKidvlgHDEE
Katy Perry,['pop'],84,https://open.spotify.com/artist/6jJ0s89eD6GaHleKKya26X
Madison Ryann Ward,['gospel r&b'],59,https://open.spotify.com/artist/6eAUAR4N9NOpirukqdIzVI
The Spirituals,"['gospel', 'african gospel']",34,https://open.spotify.com/artist/1viPlR6yBVRaBcilVZ8yPy
Justin Bieber,['Unknown Genre'],89,https://open.spotify.com/artist/1uNFoZAHBGtllmzznpCI3s
Tate McRae,['Unknown Genre'],85,https://open.spotify.com/artist/45dkTj5sMRSjrmBSBeiHym
TruththeBull,['Unknown Genre'],39,https://open.spotify.com/artist/6jJ5zRuUgv7UZJhss0fUyg
Adele,['soft pop'],85,https://open.spotify.com/artist/4dpARuHxo51G3z768sgnrY
Simone Del Freo,['Unknown Genre'],33,https://open.spotify.com/artist/44pP5tBedbl0kJ5OWNBZK4
elijah woods,['Unknown Genre'],62,https://open.spotify.com/artist/3IR6DvP0x2a6oUSist9UMu
ELEVATION RHYTHM,"['worship', 'pop worship', 'christian pop', 'christian']",61,https://open.spotify.com/artist/0qZ8aSF0iMCQI99AAXikF8
Lord's Child,['gospel r&b'],47,https://open.spotify.com/artist/14EkDZQXCL0J9CpQ1tKIKC
Bobby G,['Unknown Genre'],49,https://open.spotify.com/artist/208NpeNmmOZK5NLoCCNYLX
Worship Portal,['Unknown Genre'],29,https://open.spotify.com/artist/2BetZBR8p361ds2CsQUbbM
Kendrick Lamar,"['hip hop', 'west coast hip hop']",96,https://open.spotify.com/artist/2YZyLoL8N0Wb9xBt1NhZWg
Will Morrison,['worship'],44,https://open.spotify.com/artist/34VjmhQP0q93vBQ8eganjB
Muni Long,['Unknown Genre'],68,https://open.spotify.com/artist/7tjVFCxJdwT4NdrTmjyjQ6
Shawn Mendes,['pop'],82,https://open.spotify.com/artist/7n2wHs1TKAczGzO7Dd2rGr
Henry Moodie,['Unknown Genre'],65,https://open.spotify.com/artist/7hr9W3IjXcm3UlLY7guLk5
Lay Bankz,['jersey club'],64,https://open.spotify.com/artist/4OVbrPbhvK46A1uXTU1u5F
Kevin Quinn,"['christian', 'pop worship']",50,https://open.spotify.com/artist/3HTHz4rj84gMMV8T3u81op
