id,track_name,artist_name,duration,popularity,link
spotify:track:2AReybVlJuRmHyA08sx1XC,Criminals,Meghan Trainor,154504,61,
spotify:track:1ow8bPqwVD94b99BmIoc2n,Agbara Olorun Po,Pastor Emmanuel Iren,376048,40,
spotify:track:5SOPZYCcIa4eaOJvGM4bQs,Adura,Paul Tomisin,481462,48,
spotify:track:72vmZpM4yGOsGPhp0Qrgzp,Everybody Loves Christmas (feat. Waje & Cast of Everybody Loves Jenifa),Funke Akindele,322330,34,
spotify:track:0eDajJTpZNVXPUXCqza0HZ,Faithful Is Our God,Hezekiah Walker,444933,49,
spotify:track:6tM4E2Je4omnd7FwHt6tyf,Te Amo,121SELAH,226666,44,
spotify:track:279YppmOH2QKY8TgaYRWfC,Alright,Sam Fischer,172536,38,
spotify:track:2By98SEaNLeoeH9yx6pEHd,The Future,Dunsin Oyekan,719178,41,
spotify:track:3TcL0dyCMyr0kyTTc4NLgI,Who Says,Selena Gomez & The Scene,195613,72,
spotify:track:7LLrIlKE8zKhxr1eg2uVlD,Ascend,Victoria Orenze,932350,39,
spotify:track:1AdcEWQE8vSDYqOPHZsOSh,In The Room (feat. Annatoria) - Afro Beat Version,Maverick City Music,239036,51,
spotify:track:7gQ5c5HY6zMsIck6QLY9dJ,Hurricane,Bridgit Mendler,243986,68,
spotify:track:0vLUcf0D21qANv4C2ES7Ay,Upside Down,JVKE,114500,56,
spotify:track:4iqYSeFXqFJrqDb11B1v15,"Thou, Oh Lord - Live",The Brooklyn Tabernacle Choir,409560,27,
spotify:track:7L5lSrY4QYAwvaqeIXSayN,You Are The Reason - Duet Version,Calum Scott,190760,40,
spotify:track:4IlqQhaxrGPxmg35YcXXuS,Dancin - Krono Remix,Aaron Smith,256000,73,
spotify:track:2Im4gW7xrTDqQFOIjxkb7j,Alone,Anendlessocean,163266,51,
spotify:track:0hI2mfYShuWXpzCC6qnHaM,O' Come All Ye Faithful (Bless the Lord),The Spirituals,357559,11,
spotify:track:25f7KnoDqO7nBbPahi15UE,NEVER GET USED TO THIS,Forrest Frank,145034,68,
spotify:track:7qMRmcVM1ki7z6YgiPmXrU,Monday Morning Faith,SEU Worship,416946,56,
spotify:track:6pKhtSc35N8WhiJNS0Dymx,There Is Prophecy over Me,1Spirit & Theophilus Sunday,800000,46,
spotify:track:00gyuAURGNyLuXoIxQZemF,Jesus Christ is seen,Ebuka Songs,183275,52,
spotify:track:727Z2S2mtNH46CbP9EWPwY,If You Love Her,Forest Blakk,217351,74,
spotify:track:5BPiE76HkJOvlCha3LCeCD,Adun,Sunmisola Agbebi,228705,49,
spotify:track:7IOvxvfah1YyRBRkZzIjgg,See How Far: Gratitude (Reflections),Victoria Orenze,1196122,46,
spotify:track:1kuGVB7EU95pJObxwvfwKS,vampire,Olivia Rodrigo,219724,83,
spotify:track:6JWWPQY2pxzIXt4lKqHSvh,B'Ola (Honour),Sunmisola Agbebi,324720,60,
spotify:track:4gP0lFMHrIl5dzTBpDytJ7,Undignified (Excuse Me),Dunsin Oyekan,533187,48,
spotify:track:0BEwBflam3FG1sjoVDrCuN,Flowers,Samantha Ebert,224506,63,
spotify:track:2GGhJzqZG04f99FnOoIdyL,God Problems (Not By Power) [feat. Miles Minnick],Maverick City Music,177345,46,
spotify:track:0dnqwfmW1uWnLRp8urXVD3,You are Mighty (feat. Nick Day & Odell Bunton Jr.),Maverick City Music,203817,44,
spotify:track:2mzRdGm7Sty0Qn2wDKCuiL,Everlasting (Live),Kanjii Mbugua,260806,21,
spotify:track:7IsfOkZyazuFl8CCTbOZ59,Omemma - Live,Chandler Moore,685340,62,
spotify:track:5cdcWkYHXihl5D47o4VRgc,Mercy,Moses Bliss,1005560,49,
spotify:track:4wJ5Qq0jBN4ajy7ouZIV1c,APT.,ROSÉ,169917,91,
spotify:track:2uqYupMHANxnwgeiXTZXzd,Austin (Boots Stop Workin'),Dasha,171782,83,
spotify:track:3FeW4EODX603qpeSVPZJsV,Just the Way You Are (Instrumental Piano),Matchstick Piano Man,234149,38,
spotify:track:4OXwsfRuR2LiO8fiDMc4gj,Rest On Us (Spirit Come Move Over Us) (feat. Sam Rivera),Maverick City Music,210592,46,
spotify:track:6dgUya35uo964z7GZXM07g,Nonsense,Sabrina Carpenter,163648,85,
spotify:track:2wZ6SbRGqB20wbWh4f25q0,I Need Help,Connor Price,168998,60,
spotify:track:1ON8HYs0I25e9JCywNF81E,Yah,Dunsin Oyekan,641465,46,
spotify:track:7wCWK3AapKQoHZbghyIrP4,Nasty,Tinashe,176027,68,
spotify:track:1HIYf7gag8PgW9AAURuOxN,Refiner (feat. Mara Justine),Maverick City Music,252159,42,
spotify:track:43iIQbw5hx986dUEZbr3eN,From The Start,Laufey,169573,81,
spotify:track:2o1pb13quMReXZqE7jWsgq,intro (end of the world),Ariana Grande,92400,79,
spotify:track:51ZQ1vr10ffzbwIjDCwqm4,we can't be friends (wait for your love),Ariana Grande,228639,86,
spotify:track:3W2kGv8CcwRl2MWQN5vxKL,STUPID IN LOVE (feat. HUH YUNJIN of LE SSERAFIM),MAX,173336,65,
spotify:track:0fTMuM6fGkJZcStrnUbcbT,Until i Found You - Piano Instrumental,Box of Music,128500,40,
spotify:track:5qwztsDLBLKRqcd3pgWeGb,Clean Heart,Bryan & Katie Torwalt,314427,43,
spotify:track:2nNP5SBmelGS7G59JjGHBQ,THE PRESENT,Forrest Frank,183031,51,
