track_name,artist_name,played_at
His Name is Jesus - Live,Jeremy Riddle,2025-02-01T20:31:25.854Z
Who Else - Live at Gateway Conference,Gateway Worship,2025-01-31T09:38:46.341Z
Rolling in the Deep,Adele,2025-01-31T09:32:07.450Z
From the Start - Piano Instrumental,DPSM,2025-01-29T12:13:36.109Z
Conversations in the Dark - Harp Instrumental,Arianna Worthen,2025-01-28T19:58:56.490Z
Soh-Soh,Odeal,2025-01-28T19:54:44.790Z
Conversations in the Dark,John Legend,2025-01-28T19:51:39.763Z
Best Part (feat. H.E.R.),Daniel Caesar,2025-01-28T19:47:43.605Z
A Million Dreams (Piano Instrumental),Playa Piano,2025-01-27T20:55:37.284Z
Love Is Wicked,Brick & Lace,2025-01-27T20:49:29.368Z
Water,Tyla,2025-01-27T20:45:46.089Z
Yo Bunny,prodbycpkshawn,2025-01-27T20:42:25.280Z
Conversations in the Dark - Harp Instrumental,Arianna Worthen,2025-01-27T20:40:34.300Z
Conversations in the Dark,John Legend,2025-01-27T20:36:22.659Z
I Will Always Love You,Vitamin String Quartet,2025-01-27T20:32:24.623Z
Conversations In The Dark - Instrumental,KPH,2025-01-27T20:27:38.246Z
Soh-Soh,Odeal,2025-01-27T20:23:39.872Z
BIRTHDAY DANCE,Josh Levi,2025-01-27T20:20:34.870Z
Rolling in the Deep,Adele,2025-01-27T20:18:09.874Z
Somewhere Only We Know - Piano Version,Henry Smith,2025-01-27T20:14:21.447Z
Conversations in the Dark,John Legend,2025-01-27T20:10:58.984Z
Love In The Dark,Adele,2025-01-27T20:07:02.916Z
I Will Always Love You,Whitney Houston,2025-01-27T20:02:10.645Z
Conversations in the Dark,John Legend,2025-01-27T19:57:38.998Z
Stand Up (From Harriet),Cynthia Erivo,2025-01-27T19:53:42.917Z
Back To Black - Instrumental,Simone Del Freo,2025-01-27T17:58:12.472Z
From the Start - Piano Instrumental,DPSM,2025-01-27T16:37:20.847Z
Back To Black - Instrumental,Simone Del Freo,2025-01-27T16:33:08.474Z
Falling Behind,Laufey,2025-01-27T16:27:08.825Z
From The Start,Laufey,2025-01-27T16:24:20.948Z
Back To Black,Amy Winehouse,2025-01-27T16:21:31.803Z
You Keep Hope Alive,Jon Reddick,2025-01-27T16:12:28.178Z
Espresso,Sabrina Carpenter,2025-01-27T11:15:48.397Z
LUNCH,Billie Eilish,2025-01-27T11:09:24.764Z
Nobody But Jesus (feat. Genavieve Linkowski & Nick Day),Maverick City Music,2025-01-27T11:04:36.389Z
Nobody But Jesus (feat. Genavieve Linkowski & Nick Day),Maverick City Music,2025-01-27T11:00:45.988Z
Dance The Night - From Barbie The Album,Dua Lipa,2025-01-27T10:58:36.462Z
Monday Morning Faith,SEU Worship,2025-01-27T10:55:39.732Z
What A Beautiful Name,Hillsong Worship,2025-01-27T10:47:13.981Z
Holy (feat. Chance The Rapper),Justin Bieber,2025-01-24T08:02:36.101Z
Wade In The Water - Live,The Spirituals,2025-01-23T21:48:14.025Z
Here I am to Worship,Holy drill,2025-01-23T21:44:54.363Z
"Witchcraft, Pt. 1",Kieran the Light,2025-01-23T21:42:37.483Z
"Praise (feat. Brandon Lake, Chris Brown & Chandler Moore)",Elevation Worship,2025-01-23T21:40:30.530Z
Omemma - Sped Up,Gospel Wills,2025-01-23T21:35:25.321Z
Holy (feat. Chance The Rapper),Justin Bieber,2025-01-23T17:12:08.093Z
Silhouette Challenge,Amreco,2025-01-22T16:53:04.532Z
Goodness Of God,James Wong,2025-01-22T16:37:49.192Z
Water,Tyla,2025-01-22T12:10:03.618Z
Silhouette Challenge,Amreco,2025-01-22T11:50:50.804Z
